"_id","timestamp","device_id","datatype","double_energy","inference","blob_feature","double_convo_start","double_convo_end"
115,1587649457243,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12722,1,NULL,0,0
116,1587649458203,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12715,1,NULL,0,0
117,1587649459162,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12716,1,NULL,0,0
118,1587649460122,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12727,1,NULL,0,0
119,1587649461082,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12722,1,NULL,0,0
120,1587649462042,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12715,1,NULL,0,0
121,1587649463003,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,12726,1,NULL,0,0
122,1588095862218,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6507,1,NULL,0,0
123,1588095863178,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6495,1,NULL,0,0
124,1588095864138,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6488,1,NULL,0,0
125,1588095865098,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6489,1,NULL,0,0
126,1588095866057,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6486,1,NULL,0,0
127,1588095867018,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6810,1,NULL,0,0
128,1588095867978,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6509,1,NULL,0,0
129,1588095868938,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6501,1,NULL,0,0
130,1588095869877,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6520,1,NULL,0,0
131,1588095870837,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6608,1,NULL,0,0
132,1588095871797,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6545,1,NULL,0,0
133,1588095872757,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6504,1,NULL,0,0
134,1588095873717,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6490,1,NULL,0,0
135,1588095874677,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6602,1,NULL,0,0
136,1588095875636,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",0,6508,1,NULL,0,0
