"_id","timestamp","device_id","touch_app","touch_action","touch_action_text","scroll_items","scroll_from_index","scroll_to_index"
2584,1588039537580,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","net.oneplus.launcher","ACTION_AWARE_TOUCH_CLICKED","[AAA]",-1,-1,-1
2585,1588039545768,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaaa A1111*Aaaaaaaaa Aaaaaaa* *1*111*11]",-1,-1,-1
2586,1588039586977,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaa*Aaaaaaaaa Aaaaaaa* *1*111*11]",-1,-1,-1
2587,1588039589801,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAAAAAA]",-1,-1,-1
2588,1588039591565,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAAAAAA AAAA*]",-1,-1,-1
2589,1588039592517,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAAAAA AAAAAA AAAAA A1111* Aaaaaaaaa Aaaaaaa* *1*111*11]",-1,-1,-1
2590,1588039594880,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[]",-1,-1,-1
2591,1588039595988,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAA*]",-1,-1,-1
2592,1588039596931,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAAAAAA AAAA*]",-1,-1,-1
2593,1588039598208,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAAAAA AAAAAA AAAAAA A1111* Aaaaaaaaa Aaaaaaa* *1*111*11]",-1,-1,-1
2594,1588039600591,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AA** Aaaaaaaa]",-1,-1,-1
2595,1588039602151,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAAAAA AAAAAA AAAAA A1111* Aaaaaaaaa Aaaaaaa* *1*111*11]",-1,-1,-1
2596,1588039604051,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAAAAA AAAAAA AAAAA A1111* Aaaaaaaaa Aaaaaaa* *1*111*11* AA*]",-1,-1,-1
2597,1588039604959,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAA** Aaaaa]",-1,-1,-1
2598,1588039606233,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[]",-1,-1,-1
2599,1588039608495,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAAAAA AAAAAA AAAAA A1111* Aaaaaaaaa Aaaaaaa* *1*111*11]",-1,-1,-1
2600,1588039610835,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[*1*11]",-1,-1,-1
2601,1588039613393,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAAAA]",-1,-1,-1
2602,1588039614439,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAAAA]",-1,-1,-1
2603,1588039616247,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.pnc.ecommerce.mobile","ACTION_AWARE_TOUCH_CLICKED","[AAAA AA AAAAAAAA]",-1,-1,-1
2604,1588039629057,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[]",0,-1,-1
2605,1588039633016,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[]",0,-1,-1
2606,1588039646240,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[]",0,-1,-1
2607,1588039650291,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[]",0,-1,-1
2608,1588039660258,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[]",0,-1,-1
2609,1588039667072,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[]",0,-1,-1
2610,1588039669181,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[]",0,-1,-1
2611,1588039678229,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaa]",-1,-1,-1
2612,1588039684031,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[AaaAaa aaaaaaa* Aaaaaaa aaaaaaa aaaa* *11*11* Aaaaaaaaa aa aaaa AaaAaa Aaaa aaaaaaa* Aaaaaaa aa aaaa aaa AaaAaa Aaaa aaaaaaa* Aaaa aaaaaaa aaaa aaa aaaaa aa aaa aaaa aaaaaaaaa* aaa aaaaa aaaa aaaa aa aaaaa aaaa* Aaaa aaaa]",-1,-1,-1
2613,1588039687619,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaa]",-1,-1,-1
2614,1588039693524,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[AAA AAAA* AAAAAAAA AAAAAAAAAAA* Aaaaaaaa ****1111]",-1,-1,-1
2615,1588039697273,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaa]",-1,-1,-1
2616,1588039712420,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaa]",-1,-1,-1
2617,1588039717500,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa aaaaaa aaaa 1 aaaaaaaaaaaaa]",-1,-1,-1
2618,1588039719854,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaa]",-1,-1,-1
2619,1588039721420,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",5,2,4
2620,1588039731575,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[* *11*11* Aaaaaaaa* Aaaaaaaa]",-1,-1,-1
2621,1588040008132,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","net.oneplus.launcher","ACTION_AWARE_TOUCH_CLICKED","[Aaaaa]",-1,-1,-1
2622,1588040013795,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.gm","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaaa Aaaa aaa aaaa AaaAaa AaaaaaAaaa** 11*11* AaaAaa AaaaaaAaaa* Aaaaaa Aaaaaaa* A*aaaa Aaaaaaaa Aaaa* A Aaaa aaaaaaaaa Aaa aaaa aaaaaaa aaaaaa* 1111 Aaaa A* Aaaaa aaa aaa aaaaaaaaaa aaaa aaaaaa aaaa aaaaaaa aaaaaa* Aaaa aaaaaaa aa * 111*11 aaaa aaaa aa aaaa aaaaaaa aa 11*11*1111*]",-1,-1,-1
2623,1588040022432,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.gm","ACTION_AWARE_TOUCH_CLICKED","[aaaaaaa*aaaaaa*aaa* 11*11* Aaaa aaaaaaaa aaaaaaa aa aaaaaaaaaa* Aaaaa Aaaaaaaa* aa*aa aaaaaaaaaaaa *11*11 AAA aa aaaa aaaa aaa aaaa aaaaaaa * Aaaaa* Aaaaa Aaaaaaaa Aaaa Aaaaaaaaa Aa*aa aaaaaaaaaaaa aaaaa aa aaaa aaaa Aaa aaaaa aa aa aaaaaaaa *11*11 AAA aa]",-1,-1,-1
2624,1588040033144,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","net.oneplus.launcher","ACTION_AWARE_TOUCH_CLICKED","[AaaaaAaa]",-1,-1,-1
2625,1588040035559,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","net.oneplus.launcher","ACTION_AWARE_TOUCH_CLICKED","[Aaaaa]",-1,-1,-1
2626,1588040037296,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.Slack","ACTION_AWARE_TOUCH_CLICKED","[Aaaa aaaaaaaaaa aaaaaa]",-1,-1,-1
2627,1588040038119,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.Slack","ACTION_AWARE_TOUCH_CLICKED","[*]",-1,-1,-1
