"_id","timestamp","device_id","bt_address","bt_name","bt_rssi","label"
117,1587660129239,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","B0:C5:54:49:E0:15","DCS-8010LH-E015",-94,"1587660127419"
118,1587660130887,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","46:9C:41:99:C9:AD","",-93,"1587660127419"
119,1587660130934,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","D4:36:39:A4:BD:64","Instant Pot Smart",-98,"1587660127419"
120,1587660133874,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","66:EB:31:F2:85:F3","",-96,"1587660127419"
121,1587660133945,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","69:FA:9B:C0:29:5B","",-97,"1587660127419"
122,1587660139232,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","E8:49:8C:00:47:5A","Amazfit Bip Watch",-82,"1587660127419"
123,1587660140509,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","57:55:72:7C:BF:85","[LG] webOS TV OLED55B9PUA",-83,"1587660127419"
124,1587660140524,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","77:B6:82:4C:33:66","",-90,"1587660127419"
125,1587660140607,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","64:16:6D:37:18:CF","",-64,"1587660127419"
126,1587660140692,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","2D:0C:3E:36:42:81","",-91,"1587660127419"
127,1587660140720,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","D4:36:39:A4:BD:64","Instant Pot Smart",-95,"1587660127419"
128,1587660140755,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","79:68:8F:55:50:D7","",-83,"1587660127419"
129,1587660141885,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","70:41:D4:9D:AD:A5","",-60,"1587660127419"
130,1587660141937,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","55:4F:D1:66:8C:DC","",-97,"1587660127419"
131,1587660142000,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","6E:23:55:CF:CA:AC","",-71,"1587660127419"
132,1587660142017,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","66:EB:31:F2:85:F3","",-95,"1587660127419"
133,1587660142187,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","53:3A:7B:27:73:CC","",-100,"1587660127419"
134,1587660143047,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","4C:5F:CC:57:FC:B5","",-92,"1587660127419"
135,1587660143068,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","46:9C:41:99:C9:AD","",-98,"1587660127419"
136,1587660143162,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","49:C6:A0:BC:63:C4","",-67,"1587660127419"
137,1587660143288,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7F:BC:85:AC:84:6E","",-95,"1587660127419"
138,1587660511326,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","D4:36:39:A4:BD:64","Instant Pot Smart",-94,"1587660510803"
139,1587660511365,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","57:55:72:7C:BF:85","[LG] webOS TV OLED55B9PUA",-82,"1587660510803"
140,1587660511381,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","49:C6:A0:BC:63:C4","",-75,"1587660510803"
141,1587660511465,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","2D:0C:3E:36:42:81","",-87,"1587660510803"
142,1587660511486,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","77:B6:82:4C:33:66","",-93,"1587660510803"
143,1587660512753,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","74:CC:0D:3D:3F:3E","",-88,"1587660510803"
144,1587660512788,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","70:41:D4:9D:AD:A5","",-70,"1587660510803"
145,1587660512801,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","66:EB:31:F2:85:F3","",-89,"1587660510803"
146,1587660514257,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","79:68:8F:55:50:D7","",-87,"1587660510803"
147,1587660514280,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","46:9C:41:99:C9:AD","",-94,"1587660510803"
148,1587660514295,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","64:16:6D:37:18:CF","",-63,"1587660510803"
149,1587660519070,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","3C:15:C2:CB:CC:6B","",-99,"1587660510803"
150,1587660522958,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","4E:F4:56:55:31:9C","",-97,"1587660510803"
151,1587660522987,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","6B:CB:16:04:AB:E8","",-96,"1587660510803"
152,1587660523018,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","4C:5F:CC:57:FC:B5","",-88,"1587660510803"
153,1587660523204,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7F:BC:85:AC:84:6E","",-91,"1587660510803"
154,1587660524154,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","70:41:D4:9D:AD:A5","",-60,"1587660510803"
155,1587660524186,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","49:C6:A0:BC:63:C4","",-63,"1587660510803"
