"_id","timestamp","device_id","network_type","double_received_bytes","double_sent_bytes","double_received_packets","double_sent_packets"
4655,1588449965630,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4656,1588449965643,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,175,144,2,2
4657,1588449970658,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4658,1588449970672,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,3226,2058,22,19
4659,1588449975684,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,-72,0,-1,0
4660,1588449975694,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,97407,4143,67,49
4661,1588449985725,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4662,1588449985736,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,41420,2258,31,29
4663,1588450005818,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4664,1588450005831,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,13759150,399297,6182,5061
4665,1588450006832,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4666,1588450006848,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,0,0,0
4667,1588450008838,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4668,1588450008853,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,72,2883,1,11
4669,1588450009868,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,-1,-3
4670,1588450009880,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,361229,10489,202,137
4671,1588450017930,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,-8424,0,0,0
4672,1588450017941,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,2199536,62096,1060,817
4673,1588450018945,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4674,1588450018959,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,72,0,1,0
4675,1588450020966,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4676,1588450020977,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,17875,5716,47,52
4677,1588450026003,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4678,1588450026033,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,216,156,3,2
4679,1588450029009,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4680,1588450029023,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,72,72,1,1
4681,1588450032031,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4682,1588450032051,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,72,72,1,1
4683,1588450038065,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4684,1588450038078,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,276,497,4,3
4685,1588450042084,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4686,1588450042101,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,1165,1206,15,10
4687,1588450045117,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4688,1588450045128,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,30296,2720,28,23
4689,1588450052187,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4690,1588450052199,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,72,72,1,1
4691,1588450055217,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4692,1588450055226,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,183,351,2,4
4693,1588450056222,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,-60,0,-1,0
4694,1588450056234,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,180931,5124,100,68
4695,1588450071318,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4696,1588450071335,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,1561112,66292,978,767
4697,1588450072407,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,-1,0
4698,1588450072424,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,85145,7139,69,60
4699,1588450078545,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,-5536,0,0,0
4700,1588450078557,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,929635,45558,574,530
4701,1588450080471,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4702,1588450080480,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,80,0,1
4703,1588450081470,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4704,1588450081482,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,112139,4178,53,55
4705,1588450083553,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4706,1588450083562,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,260,218,2,3
4707,1588450084429,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,-1420,0,0,-1
4708,1588450084439,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,359179,18780,185,203
4709,1588450088516,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,-1420,-72,-3,-3
4710,1588450088530,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,548381,18703,250,252
4711,1588450094535,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4712,1588450094547,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,2269,236,1,2
4713,1588450097618,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,-1
4714,1588450097632,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,91023,4486,42,42
4715,1588450104650,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4716,1588450104664,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,1013849,59720,357,379
4717,1588450106601,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4718,1588450106608,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,20174,950,10,11
4719,1588450108629,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4720,1588450108641,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,72,72,1,1
4721,1588450111561,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4722,1588450111581,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,72,72,1,1
4723,1588450115660,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4724,1588450115679,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,355,365,5,4
4725,1588450121687,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4726,1588450121703,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,98334,3568,37,40
4727,1588450128727,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4728,1588450128740,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,7918,2182,12,16
4729,1588450129741,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4730,1588450129763,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,72,442,2,3
4731,1588450138730,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4732,1588450138749,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,8339,5226,17,18
4733,1588450143782,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4734,1588450143804,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,847,1019,10,13
4735,1588450144788,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4736,1588450144806,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,93,248,1,3
4737,1588450145802,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4738,1588450145822,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,6875,1147,7,9
4739,1588450146808,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4740,1588450146824,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,0,0,0
4741,1588450148831,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4742,1588450148849,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,80,0,1
4743,1588450149836,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4744,1588450149850,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,72,72,1,1
4745,1588450155883,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4746,1588450155900,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,17784,4873,31,42
4747,1588450156884,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4748,1588450156903,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,0,0,0
4749,1588450158897,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4750,1588450158911,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,294,0,2
4751,1588450159948,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4752,1588450159969,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,1441,327,4,4
4753,1588450164921,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4754,1588450164929,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,16793,6246,30,34
4755,1588450166950,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4756,1588450166963,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,468,464,6,6
4757,1588450171985,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4758,1588450172006,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,20002,2878,19,24
4759,1588450172991,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4760,1588450173006,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,144,144,2,2
4761,1588450182035,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4762,1588450182044,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,1170596,43605,461,396
4763,1588450193102,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4764,1588450193130,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,69209,8507,72,76
4765,1588450200137,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4766,1588450200149,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,26988,22689,105,117
4767,1588450205194,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4768,1588450205250,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,449,144,2,2
4769,1588450208251,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4770,1588450208270,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,80,0,1
4771,1588450210266,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4772,1588450210280,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,72,72,1,1
4773,1588450213308,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4774,1588450213329,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,866,1136,4,7
4775,1588450224416,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,-37135,0,0,0
4776,1588450224453,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,1361175,143897,516,792
4777,1588450225356,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,-4038,0,-1,0
4778,1588450225396,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,167434,20302,59,91
4779,1588450235408,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4780,1588450235422,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,1250865,97860,372,409
4781,1588450240446,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4782,1588450240459,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,41024,2275,7,20
4783,1588450250506,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4784,1588450250531,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,120176,17173,52,75
