"_id","timestamp","device_id","cid","lac","psc","signal_strength","bit_error_rate"
375,1588243835287,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
376,1588244944950,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050327,44798,0,99,2147483647
377,1588244946412,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
378,1588244951655,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050327,44798,0,99,2147483647
379,1588244953305,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9167373,44798,0,99,2147483647
380,1588245631471,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9167373,44798,0,99,2147483647
381,1588246549089,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
382,1588247438704,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
383,1588249261229,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
384,1588251088268,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
385,1588252913230,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
386,1588254697136,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
387,1588256498666,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
388,1588258294069,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
389,1588260079145,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
390,1588261872144,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
391,1588263682283,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
392,1588265541008,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
393,1588267327033,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
394,1588270163807,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
395,1588271942279,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
396,1588273755952,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
397,1588275542511,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
398,1588277357001,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
399,1588279161130,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
400,1588280979803,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
401,1588282771439,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
402,1588284629139,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
403,1588288324154,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
404,1588290177161,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
405,1588292023535,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
406,1588293836839,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
407,1588295626586,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
408,1588297467229,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
409,1588299237272,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
410,1588300037404,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
411,1588300040497,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
412,1588301041340,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
413,1588302843446,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
414,1588304645493,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
415,1588306475210,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
416,1588308247168,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
417,1588310049169,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
418,1588311851301,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
419,1588313654093,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
420,1588315456104,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
421,1588315740137,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
422,1588315773004,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
423,1588317246917,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
424,1588319048396,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
425,1588319271167,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",8690968,44798,0,99,2147483647
426,1588319272179,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9167373,44798,0,99,2147483647
427,1588319291702,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
428,1588319573503,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
429,1588320850281,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
430,1588321677973,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
431,1588321711004,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
432,1588322652201,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
433,1588324157769,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050327,44798,0,99,2147483647
434,1588324159788,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9167373,44798,0,99,2147483647
435,1588324454483,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9167373,44798,0,99,2147483647
436,1588326262119,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9167373,44798,0,99,2147483647
437,1588326557514,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050327,44798,0,99,2147483647
438,1588326559827,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
439,1588327781007,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
440,1588327815279,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
441,1588328086993,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
442,1588328353241,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
443,1588328387409,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
444,1588329875992,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
445,1588331656615,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
446,1588333458502,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
447,1588334412945,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",-1,44798,0,99,2147483647
448,1588334413342,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
449,1588334414580,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
450,1588335241120,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
451,1588337019832,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
452,1588338834051,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
453,1588340608016,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
454,1588342389332,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
455,1588344188308,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
456,1588346002932,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
457,1588347783877,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
458,1588349634117,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
459,1588351441261,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
460,1588353260712,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
461,1588355271170,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
462,1588357092783,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
463,1588358638736,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",-1,44798,0,99,2147483647
464,1588358904549,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",-1,44798,0,99,2147483647
465,1588358907425,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
466,1588360179378,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
467,1588360674865,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
468,1588362490181,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
469,1588366491589,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
470,1588367090621,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",-1,44798,0,99,2147483647
471,1588367090905,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
472,1588367097654,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
473,1588368301814,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
474,1588370107238,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
475,1588371922174,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
476,1588377718472,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
477,1588378398576,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6049793,44798,0,99,2147483647
478,1588378424423,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6081814,44798,0,99,2147483647
479,1588378677955,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9167371,44798,0,99,2147483647
480,1588379183685,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
481,1588379533435,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
482,1588381323859,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
483,1588383135345,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
484,1588384934015,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
485,1588386706258,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
486,1588388521218,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
487,1588390359399,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
488,1588392142078,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
489,1588393932009,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
490,1588395705450,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
491,1588395949037,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050306,44798,0,99,2147483647
492,1588395952431,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
493,1588397575173,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
494,1588399387226,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
495,1588401196171,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
